"","mile","time","kde1.estimate"
"31220",110.25,6.58333333333333,0.00142201904906167
"31221",110.5,6.58333333333333,0.00141857723885112
"31222",110.75,6.58333333333333,0.00141745183751481
"31223",111,6.58333333333333,0.00141861731225659
"31224",111.25,6.58333333333333,0.00142203408275285
"31225",111.5,6.58333333333333,0.00142764894907973
"31226",111.75,6.58333333333333,0.00143539560901532
"31227",112,6.58333333333333,0.00144519525873083
"31228",112.25,6.58333333333333,0.00145695727058685
"31229",112.5,6.58333333333333,0.00147057994149521
"31230",112.75,6.58333333333333,0.00148595130508393
"31231",113,6.58333333333333,0.00150295000070395
"31232",113.25,6.58333333333333,0.00152144619213527
"31233",113.5,6.58333333333333,0.00154130252868371
"31234",113.75,6.58333333333333,0.00156237514120572
"31235",114,6.58333333333333,0.00158451466545966
"31236",114.25,6.58333333333333,0.00160756728506093
"31237",114.5,6.58333333333333,0.0016313757862213
"31238",114.75,6.58333333333333,0.00165578061638686
"31239",115,6.58333333333333,0.00168062093886408
"31240",115.25,6.58333333333333,0.00170573567554722
"31241",115.5,6.58333333333333,0.00173096452994369
"31242",115.75,6.58333333333333,0.00175614898284577
"31243",116,6.58333333333333,0.00178113325322402
"31244",116.25,6.58333333333333,0.00180576521722805
"31245",116.5,6.58333333333333,0.00182989727857602
"31246",116.75,6.58333333333333,0.00185338718409876
"31247",117,6.58333333333333,0.00187609877877524
"31248",117.25,6.58333333333333,0.00189790269524986
"31249",117.5,6.58333333333333,0.00191867697355095
"31250",117.75,6.58333333333333,0.0019383076075248
"31251",118,6.58333333333333,0.00195668901534645
"31252",118.25,6.58333333333333,0.00197372443235372
"31253",118.5,6.58333333333333,0.0019893262253568
"31254",118.75,6.58333333333333,0.00200341612848423
"31255",119,6.58333333333333,0.00201592540151875
"31256",119.25,6.58333333333333,0.00202679491253393
"31257",119.5,6.58333333333333,0.0020359751474472
"31258",119.75,6.58333333333333,0.00204342614983915
"31259",120,6.58333333333333,0.00204911739503877
"31260",120.25,6.58333333333333,0.00205302760302656
"31261",120.5,6.58333333333333,0.00205514449515256
"31262",120.75,6.58333333333333,0.00205546449999858
"31263",121,6.58333333333333,0.00205399241393015
"31264",121.25,6.58333333333333,0.0020507410219845
"31265",121.5,6.58333333333333,0.00204573068473098
"31266",121.75,6.58333333333333,0.00203898889662745
"31267",122,6.58333333333333,0.00203054982119037
"31268",122.25,6.58333333333333,0.00202045380801169
"31269",122.5,6.58333333333333,0.00200874689630693
"31270",122.75,6.58333333333333,0.00199548030928304
"31271",123,6.58333333333333,0.00198070994318997
"31272",123.25,6.58333333333333,0.00196449585448242
"31273",123.5,6.58333333333333,0.00194690174808763
"31274",123.75,6.58333333333333,0.00192799446936494
"31275",124,6.58333333333333,0.00190784350196908
"31276",124.25,6.58333333333333,0.00188652047350242
"31277",124.5,6.58333333333333,0.00186409867057215
"31278",124.75,6.58333333333333,0.00184065256466119
"31279",125,6.58333333333333,0.00181625735008095
"31280",125.25,6.58333333333333,0.00179098849519846
"31281",125.5,6.58333333333333,0.00176492130811668
"31282",125.75,6.58333333333333,0.00173813051802901
"31283",126,6.58333333333333,0.00171068987355711
"31284",126.25,6.58333333333333,0.00168267175950431
"31285",126.5,6.58333333333333,0.0016541468336024
"31286",126.75,6.58333333333333,0.00162518368498232
"31287",127,6.58333333333333,0.00159584851624551
"31288",127.25,6.58333333333333,0.00156620485113712
"31289",127.5,6.58333333333333,0.00153631326991141
"31290",127.75,6.58333333333333,0.00150623117452065
"31291",128,6.58333333333333,0.00147601258574126
"31292",128.25,6.58333333333333,0.00144570797426541
"31293",128.5,6.58333333333333,0.00141536412762847
"31294",128.75,6.58333333333333,0.00138502405460766
"31295",129,6.58333333333333,0.00135472692841677
"31296",129.25,6.58333333333333,0.00132450806963777
"31297",129.5,6.58333333333333,0.001294398969379
"31298",129.75,6.58333333333333,0.00126442735264059
"31299",130,6.58333333333333,0.00123461728131099
"31300",130.25,6.58333333333333,0.00120498929562885
"31301",130.5,6.58333333333333,0.00117556059233579
"31302",130.75,6.58333333333333,0.00114634523713462
"31303",131,6.58333333333333,0.0011173544084707
"31304",131.25,6.58333333333333,0.00108859666908885
"31305",131.5,6.58333333333333,0.0010600782612995
"31306",131.75,6.58333333333333,0.00103180342143261
"31307",132,6.58333333333333,0.00100377470857803
